Designator,Mid X,Mid Y,Rotation,Layer
C1,89.198598,-74.748184,0.000000,bottom
C2,92.431968,-60.048213,135.000000,bottom
C3,96.131969,-72.548214,45.000000,bottom
C4,97.031969,-73.348214,45.000000,bottom
C5,91.531968,-60.948213,135.000000,bottom
C6,86.331969,-69.148213,-45.000000,bottom
C7,98.731967,-65.348214,135.000000,bottom
C9,90.031932,-55.934858,-90.000000,bottom
C10,95.031929,-56.414858,-90.000000,bottom
D1,49.087433,-43.922207,80.000000,bottom
D2,143.920036,-42.533024,100.000000,bottom
D3,58.935510,-45.658691,80.000000,bottom
D4,134.071958,-44.269503,100.000000,bottom
D5,68.783588,-47.395171,80.000000,bottom
D6,124.223882,-46.005985,100.000000,bottom
D7,78.631667,-49.131653,80.000000,bottom
D8,114.375803,-47.742468,100.000000,bottom
D9,88.479742,-50.868135,80.000000,bottom
D10,104.527723,-49.478949,100.000000,bottom
D11,47.350953,-53.770287,80.000000,bottom
D12,145.656517,-52.381100,100.000000,bottom
D13,57.199030,-55.506766,80.000000,bottom
D14,135.808440,-54.117580,100.000000,bottom
D15,67.047107,-57.243248,80.000000,bottom
D16,125.960361,-55.854061,100.000000,bottom
D17,76.895183,-58.979731,80.000000,bottom
D18,116.112288,-57.590543,100.000000,bottom
D19,86.743264,-60.716212,80.000000,bottom
D20,106.264206,-59.327025,100.000000,bottom
D21,45.614470,-63.618363,80.000000,bottom
D22,147.392999,-62.229176,100.000000,bottom
D23,55.462548,-65.354846,80.000000,bottom
D24,137.544924,-63.965659,100.000000,bottom
D25,65.310625,-67.091328,80.000000,bottom
D26,127.696844,-65.702140,100.000000,bottom
D27,75.158701,-68.827808,80.000000,bottom
D28,117.848767,-67.438622,100.000000,bottom
D29,85.006781,-70.564288,80.000000,bottom
D30,108.000690,-69.175103,100.000000,bottom
D31,43.877989,-73.466440,80.000000,bottom
D32,149.129480,-72.077255,100.000000,bottom
D33,53.726065,-75.202922,80.000000,bottom
D34,139.281403,-73.813736,100.000000,bottom
D35,63.574143,-76.939404,80.000000,bottom
D36,129.433328,-75.550218,100.000000,bottom
D37,73.422220,-78.675884,80.000000,bottom
D38,119.585245,-77.286699,100.000000,bottom
D39,83.270297,-80.412367,80.000000,bottom
D40,109.737171,-79.023181,100.000000,bottom
F1,84.831967,-53.848214,-10.000000,bottom
H1,49.485316,-47.424478,170.000000,bottom
H2,79.029549,-52.633922,170.000000,bottom
H3,45.991511,-67.238839,170.000000,bottom
H4,75.535742,-72.448285,170.000000,bottom
H5,106.120300,-52.752129,-170.000000,bottom
H6,135.664535,-47.542684,-170.000000,bottom
H7,109.593264,-72.448285,-170.000000,bottom
H8,139.137498,-67.238838,-170.000000,bottom
J1,92.531930,-38.081532,0.000000,bottom
R1,100.031927,-75.581517,90.000000,bottom
R2,88.365266,-44.748195,180.000000,bottom
R3,97.021930,-44.748196,180.000000,bottom
SW41,95.865262,-79.748182,-90.000000,bottom
SW42,89.198600,-79.748183,-90.000000,bottom
U1,92.531931,-48.914861,90.000000,bottom
U2,92.531931,-67.248186,135.000000,bottom
U3,92.531931,-56.414857,180.000000,bottom
