Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",89.198598,-74.748184,0.000000,bottom
"C2","4.7uF","C_0402_1005Metric",92.431968,-60.048213,135.000000,bottom
"C3","1uF","C_0402_1005Metric",96.131969,-72.548214,45.000000,bottom
"C4","100nF","C_0402_1005Metric",97.031969,-73.348214,45.000000,bottom
"C5","100nF","C_0402_1005Metric",91.531968,-60.948213,135.000000,bottom
"C6","100nF","C_0402_1005Metric",86.331969,-69.148213,-45.000000,bottom
"C7","100nF","C_0402_1005Metric",98.731967,-65.348214,135.000000,bottom
"C9","1uF","C_0402_1005Metric",90.031932,-55.934858,-90.000000,bottom
"C10","1uF","C_0402_1005Metric",95.031929,-56.414858,-90.000000,bottom
"D1","D_Small","D_SOD-523",49.087433,-43.922207,80.000000,bottom
"D2","D_Small","D_SOD-523",143.920036,-42.533024,100.000000,bottom
"D3","D_Small","D_SOD-523",58.935510,-45.658691,80.000000,bottom
"D4","D_Small","D_SOD-523",134.071958,-44.269503,100.000000,bottom
"D5","D_Small","D_SOD-523",68.783588,-47.395171,80.000000,bottom
"D6","D_Small","D_SOD-523",124.223882,-46.005985,100.000000,bottom
"D7","D_Small","D_SOD-523",78.631667,-49.131653,80.000000,bottom
"D8","D_Small","D_SOD-523",114.375803,-47.742468,100.000000,bottom
"D9","D_Small","D_SOD-523",88.479742,-50.868135,80.000000,bottom
"D10","D_Small","D_SOD-523",104.527723,-49.478949,100.000000,bottom
"D11","D_Small","D_SOD-523",47.350953,-53.770287,80.000000,bottom
"D12","D_Small","D_SOD-523",145.656517,-52.381100,100.000000,bottom
"D13","D_Small","D_SOD-523",57.199030,-55.506766,80.000000,bottom
"D14","D_Small","D_SOD-523",135.808440,-54.117580,100.000000,bottom
"D15","D_Small","D_SOD-523",67.047107,-57.243248,80.000000,bottom
"D16","D_Small","D_SOD-523",125.960361,-55.854061,100.000000,bottom
"D17","D_Small","D_SOD-523",76.895183,-58.979731,80.000000,bottom
"D18","D_Small","D_SOD-523",116.112288,-57.590543,100.000000,bottom
"D19","D_Small","D_SOD-523",86.743264,-60.716212,80.000000,bottom
"D20","D_Small","D_SOD-523",106.264206,-59.327025,100.000000,bottom
"D21","D_Small","D_SOD-523",45.614470,-63.618363,80.000000,bottom
"D22","D_Small","D_SOD-523",147.392999,-62.229176,100.000000,bottom
"D23","D_Small","D_SOD-523",55.462548,-65.354846,80.000000,bottom
"D24","D_Small","D_SOD-523",137.544924,-63.965659,100.000000,bottom
"D25","D_Small","D_SOD-523",65.310625,-67.091328,80.000000,bottom
"D26","D_Small","D_SOD-523",127.696844,-65.702140,100.000000,bottom
"D27","D_Small","D_SOD-523",75.158701,-68.827808,80.000000,bottom
"D28","D_Small","D_SOD-523",117.848767,-67.438622,100.000000,bottom
"D29","D_Small","D_SOD-523",85.006781,-70.564288,80.000000,bottom
"D30","D_Small","D_SOD-523",108.000690,-69.175103,100.000000,bottom
"D31","D_Small","D_SOD-523",43.877989,-73.466440,80.000000,bottom
"D32","D_Small","D_SOD-523",149.129480,-72.077255,100.000000,bottom
"D33","D_Small","D_SOD-523",53.726065,-75.202922,80.000000,bottom
"D34","D_Small","D_SOD-523",139.281403,-73.813736,100.000000,bottom
"D35","D_Small","D_SOD-523",63.574143,-76.939404,80.000000,bottom
"D36","D_Small","D_SOD-523",129.433328,-75.550218,100.000000,bottom
"D37","D_Small","D_SOD-523",73.422220,-78.675884,80.000000,bottom
"D38","D_Small","D_SOD-523",119.585245,-77.286699,100.000000,bottom
"D39","D_Small","D_SOD-523",83.270297,-80.412367,80.000000,bottom
"D40","D_Small","D_SOD-523",109.737171,-79.023181,100.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",84.831967,-53.848214,-10.000000,bottom
"H1","MountingHole","SMTSO-M1.6",49.485316,-47.424478,170.000000,bottom
"H2","MountingHole","SMTSO-M1.6",79.029549,-52.633922,170.000000,bottom
"H3","MountingHole","SMTSO-M1.6",45.991511,-67.238839,170.000000,bottom
"H4","MountingHole","SMTSO-M1.6",75.535742,-72.448285,170.000000,bottom
"H5","MountingHole","SMTSO-M1.6",106.120300,-52.752129,-170.000000,bottom
"H6","MountingHole","SMTSO-M1.6",135.664535,-47.542684,-170.000000,bottom
"H7","MountingHole","SMTSO-M1.6",109.593264,-72.448285,-170.000000,bottom
"H8","MountingHole","SMTSO-M1.6",139.137498,-67.238838,-170.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",92.531930,-38.081532,0.000000,bottom
"R1","10k","R_0402_1005Metric",100.031927,-75.581517,90.000000,bottom
"R2","5.1k","R_0402_1005Metric",88.365266,-44.748195,180.000000,bottom
"R3","5.1k","R_0402_1005Metric",97.021930,-44.748196,180.000000,bottom
"SW41","RST","SW_SPST_SKQG_WithoutStem",95.865262,-79.748182,-90.000000,bottom
"SW42","RST","SW_SPST_SKQG_WithoutStem",89.198600,-79.748183,-90.000000,bottom
"U1","USBLC6-2SC6","SOT-23-6",92.531931,-48.914861,90.000000,bottom
"U2","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",92.531931,-67.248186,135.000000,bottom
"U3","XC6206PxxxMR-Regulator_Linear","SOT-23",92.531931,-56.414857,180.000000,bottom
