Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","Button_Mute_Kailh",45.408677,-41.750403,-10.000000,top
"SW2","SW_Push","Button_Mute_Kailh",139.720333,-41.750404,10.000000,top
"SW3","SW_Push","Button_Mute_Kailh",55.256753,-43.486886,-10.000000,top
"SW4","SW_Push","Button_Mute_Kailh",129.872253,-43.486884,10.000000,top
"SW5","SW_Push","Button_Mute_Kailh",65.104831,-45.223369,-10.000000,top
"SW6","SW_Push","Button_Mute_Kailh",120.024176,-45.223367,10.000000,top
"SW7","SW_Push","Button_Mute_Kailh",74.952907,-46.959849,-10.000000,top
"SW8","SW_Push","Button_Mute_Kailh",110.176102,-46.959848,10.000000,top
"SW9","SW_Push","Button_Mute_Kailh",84.800988,-48.696331,-10.000000,top
"SW10","SW_Push","Button_Mute_Kailh",100.328021,-48.696332,10.000000,top
"SW11","SW_Push","Button_Mute_Kailh",43.672194,-51.598482,-10.000000,top
"SW12","SW_Push","Button_Mute_Kailh",141.456814,-51.598481,10.000000,top
"SW13","SW_Push","Button_Mute_Kailh",53.520270,-53.334961,-10.000000,top
"SW14","SW_Push","Button_Mute_Kailh",131.608738,-53.334963,10.000000,top
"SW15","SW_Push","Button_Mute_Kailh",63.368351,-55.071444,-10.000000,top
"SW16","SW_Push","Button_Mute_Kailh",121.760657,-55.071444,10.000000,top
"SW17","SW_Push","Button_Mute_Kailh",73.216426,-56.807927,-10.000000,top
"SW18","SW_Push","Button_Mute_Kailh",111.912581,-56.807926,10.000000,top
"SW19","SW_Push","Button_Mute_Kailh",83.064502,-58.544407,-10.000000,top
"SW20","SW_Push","Button_Mute_Kailh",102.064505,-58.544406,10.000000,top
"SW21","SW_Push","Button_Mute_Kailh",41.935713,-61.446558,-10.000000,top
"SW22","SW_Push","Button_Mute_Kailh",143.193297,-61.446559,10.000000,top
"SW23","SW_Push","Button_Mute_Kailh",51.783793,-63.183038,-10.000000,top
"SW24","SW_Push","Button_Mute_Kailh",133.345219,-63.183041,10.000000,top
"SW25","SW_Push","Button_Mute_Kailh",61.631867,-64.919523,-10.000000,top
"SW26","SW_Push","Button_Mute_Kailh",123.497142,-64.919523,10.000000,top
"SW27","SW_Push","Button_Mute_Kailh",71.479946,-66.656005,-10.000000,top
"SW28","SW_Push","Button_Mute_Kailh",113.649064,-66.656005,10.000000,top
"SW29","SW_Push","Button_Mute_Kailh",81.328022,-68.392486,-10.000000,top
"SW30","SW_Push","Button_Mute_Kailh",103.800986,-68.392483,10.000000,top
"SW31","SW_Push","Button_Mute_Kailh",40.199231,-71.294637,-10.000000,top
"SW32","SW_Push","Button_Mute_Kailh",144.929781,-71.294636,10.000000,top
"SW33","SW_Push","Button_Mute_Kailh",50.047309,-73.031119,-10.000000,top
"SW34","SW_Push","Button_Mute_Kailh",135.081698,-73.031119,10.000000,top
"SW35","SW_Push","Button_Mute_Kailh",59.895385,-74.767598,-10.000000,top
"SW36","SW_Push","Button_Mute_Kailh",125.233623,-74.767599,10.000000,top
"SW37","SW_Push","Button_Mute_Kailh",69.743462,-76.504083,-10.000000,top
"SW38","SW_Push","Button_Mute_Kailh",115.385547,-76.504080,10.000000,top
"SW39","SW_Push","Button_Mute_Kailh",79.591540,-78.240564,-10.000000,top
"SW40","SW_Push","Button_Mute_Kailh",105.537468,-78.240564,10.000000,top
